Senator,Party,Organization,Total,PACs,Individuals
"Bennet, Michael",(D),Votesane PAC,122000,0,122000
"Bennet, Michael",(D),University of Colorado,120956,0,120956
"Bennet, Michael",(D),"Akin, Gump et al",104250,10578,93672
"Bennet, Michael",(D),Oaktree Capital Management,89700,0,89700
"Bennet, Michael",(D),Goldman Sachs,88800,23000,65800
"Bennet, Michael",(D),Pershing Square Capital Management,86100,0,86100
"Bennet, Michael",(D),Comcast Corp,83055,30000,53055
"Bennet, Michael",(D),"Brownstein, Hyatt et al",77625,7500,70125
"Bennet, Michael",(D),Amgen Inc,74000,24000,50000
"Bennet, Michael",(D),Breckenridge Grand Vacations,70200,0,70200
"Bennet, Michael",(D),Alphabet Inc,69205,25000,44205
"Bennet, Michael",(D),JPMorgan Chase & Co,63095,24000,39095
"Bennet, Michael",(D),Fidelity Investments,61350,22500,38850
"Bennet, Michael",(D),Capital Group Companies,58200,15000,43200
"Bennet, Michael",(D),Hogan Lovells,54800,2000,52800
"Bennet, Michael",(D),AT&T Inc,51594,23500,28094
"Bennet, Michael",(D),Liberty Media Corp,49450,5000,44450
"Bennet, Michael",(D),WilmerHale LLP,48590,0,48590
"Bennet, Michael",(D),CVS Health,47508,24500,23008
"Bennet, Michael",(D),Democratic Senatorial Campaign Cmte,46800,46800,0
"Bennet, Michael",(D),Centerbridge Partners,46700,0,46700
"Bennet, Michael",(D),Gilead Sciences,46300,12500,33800
"Bennet, Michael",(D),Access Industries,46200,0,46200
"Bennet, Michael",(D),"Haddon, Morgan, Foreman Pc",45300,0,45300
"Bennet, Michael",(D),DISH Network,44823,22500,22323
"Bennet, Michael",(D),Xcel Energy,43395,20000,23395
"Bennet, Michael",(D),RTX Corp,41564,41000,564
"Bennet, Michael",(D),State of Colorado,41046,0,41046
"Bennet, Michael",(D),Arnold & Porter,39750,5000,34750
"Bennet, Michael",(D),Tiber Creek Group,39400,0,39400
"Bennet, Michael",(D),"Paul, Weiss et al",39085,0,39085
"Bennet, Michael",(D),DaVita Inc,38889,21500,17389
"Bennet, Michael",(D),"Angelo, Gordon & Co",38350,0,38350
"Bennet, Michael",(D),Loews Corp,37425,5000,32425
"Bennet, Michael",(D),CoBank,37138,0,37138
"Bennet, Michael",(D),Sares-Regis Group,35100,0,35100
"Bennet, Michael",(D),Select Medical Corp,35000,20000,15000
"Bennet, Michael",(D),Urology Center of Colorado,34425,0,34425
"Bennet, Michael",(D),National Assn for Home Care,34400,5000,29400
"Bennet, Michael",(D),Latham & Watkins,33100,0,33100
"Bennet, Michael",(D),National Assn of Real Estate Investment Trusts,33000,25000,8000
"Bennet, Michael",(D),MWWPR,32600,5000,27600
"Bennet, Michael",(D),Pacific Alternative Asset Management,32400,0,32400
"Bennet, Michael",(D),Alston & Bird,32100,22500,9600
"Bennet, Michael",(D),Merck & Co,31508,31500,8
"Bennet, Michael",(D),Pfizer Inc,31020,27500,3520
"Bennet, Michael",(D),Microsoft Corp,31002,19000,12002
"Bennet, Michael",(D),Mortgage Bankers Assn,31000,30000,1000
"Bennet, Michael",(D),Molson Coors Brewing,30755,10000,20755
"Bennet, Michael",(D),KPMG LLP,30400,25000,5400
"Bennet, Michael",(D),CH2M HILL,30325,9000,21325
"Bennet, Michael",(D),Union Pacific Corp,30260,30000,260
"Bennet, Michael",(D),Lumen Technologies,30063,6000,24063
"Bennet, Michael",(D),TPG Capital,29700,0,29700
"Bennet, Michael",(D),Apollo Global Management,29600,7500,22100
"Bennet, Michael",(D),AbbVie Inc,29512,29000,512
"Bennet, Michael",(D),National Assn of Realtors,29500,29500,0
"Bennet, Michael",(D),Operating Engineers Union,29500,29500,0
"Bennet, Michael",(D),Blue Cross/Blue Shield,29410,22000,7410
"Bennet, Michael",(D),United Parcel Service,29395,29000,395
"Bennet, Michael",(D),"Gibson, Dunn & Crutcher",29200,5500,23700
"Bennet, Michael",(D),Democracy Engine,29100,0,29100
"Bennet, Michael",(D),BlackRock Inc,29000,7500,21500
"Bennet, Michael",(D),"Davis, Graham & Stubbs",28900,0,28900
"Bennet, Michael",(D),Purdue Pharma,28400,0,28400
"Bennet, Michael",(D),Albright Stonebridge Group,28272,0,28272
"Bennet, Michael",(D),"Welsh, Carson et al",28000,0,28000
"Bennet, Michael",(D),Peter G Peterson Foundation,27800,0,27800
"Bennet, Michael",(D),Ares Management,27600,0,27600
"Bennet, Michael",(D),National Multifamily Housing Council,27500,27500,0
"Bennet, Michael",(D),Deloitte LLP,27063,18500,8563
"Bennet, Michael",(D),Analysis Group,27000,0,27000
"Bennet, Michael",(D),Artery Capital Group,27000,0,27000
"Bennet, Michael",(D),"Munger, Tolles & Olson",26700,0,26700
"Bennet, Michael",(D),"Bryan, Cave et al",26631,-1000,27631
"Bennet, Michael",(D),Bank of America,26566,0,26566
"Bennet, Michael",(D),Greenlight Capital,26200,0,26200
"Bennet, Michael",(D),National Air Traffic Controllers Assn,26000,26000,0
"Bennet, Michael",(D),Cisco Systems,25668,9000,16668
"Bennet, Michael",(D),Hewlett Packard Enterprise,25520,25500,20
"Bennet, Michael",(D),Plumbers/Pipefitters Union,25450,25000,450
"Bennet, Michael",(D),Lockheed Martin,25403,19000,6403
"Bennet, Michael",(D),Facebook Inc,25300,9000,16300
"Bennet, Michael",(D),Wine & Spirits Wholesalers of America,25000,25000,0
"Bennet, Michael",(D),Vail Resorts,24970,15000,9970
"Bennet, Michael",(D),Harvard University,24817,0,24817
