Senator,Party,Organization,Total,PACs,Individuals
"Kaine, Tim",(D),Strategic Analysis Inc,35000,0,35000
"Kaine, Tim",(D),Bank of New York Mellon,34800,6000,28800
"Kaine, Tim",(D),George Washington University,34458,0,34458
"Kaine, Tim",(D),Amazon.com,33945,17500,16445
"Kaine, Tim",(D),American Healthcare LLC,33839,0,33839
"Kaine, Tim",(D),Wilmerhale Llp,33654,0,33654
"Kaine, Tim",(D),Mvm Inc,33400,0,33400
"Kaine, Tim",(D),Edgar Lomax Co,32700,0,32700
"Kaine, Tim",(D),Virginia Commonwealth University,32676,0,32676
"Kaine, Tim",(D),US Government,32577,0,32577
"Kaine, Tim",(D),Alphabet Inc,32510,16000,16510
"Kaine, Tim",(D),"Simpson, Thacher & Bartlett",32300,0,32300
"Kaine, Tim",(D),RTX Corp,32045,29000,3045
"Kaine, Tim",(D),Anheuser-Busch,31525,30000,1525
"Kaine, Tim",(D),National Multifamily Housing Council,31500,31500,0
"Kaine, Tim",(D),American Hospital Assn,31350,30000,1350
"Kaine, Tim",(D),Alston & Bird,31150,20000,11150
"Kaine, Tim",(D),Stanford University,31066,0,31066
"Kaine, Tim",(D),Heising-Simons Foundation,31000,0,31000
"Kaine, Tim",(D),O'Melveny & Myers,30851,0,30851
"Kaine, Tim",(D),Kirkland & Ellis,30733,0,30733
"Kelly, Mark",(D),Democracy Engine,404122,0,404122
"Kelly, Mark",(D),University of California,189832,0,189832
"Kelly, Mark",(D),Alphabet Inc,133466,5000,128466
"Kelly, Mark",(D),University of Arizona,126035,0,126035
"Kelly, Mark",(D),JStreetPAC,120601,0,120601
"Kelly, Mark",(D),Arizona State University,105373,0,105373
"Kelly, Mark",(D),Microsoft Corp,83903,0,83903
"Kelly, Mark",(D),Apple Inc,70618,0,70618
"Kelly, Mark",(D),Amazon.com,62019,0,62019
"Kelly, Mark",(D),US Government,61014,0,61014
"Kelly, Mark",(D),Walt Disney Co,58942,0,58942
"Kelly, Mark",(D),Stanford University,58319,0,58319
"Kelly, Mark",(D),Kirkland & Ellis,56500,0,56500
"Kelly, Mark",(D),Harvard University,53558,0,53558
"Kelly, Mark",(D),Democratic Senatorial Campaign Cmte,51450,51200,250
"Kelly, Mark",(D),Banner Health,49418,0,49418
"Kelly, Mark",(D),Jane Street Group,48500,0,48500
"Kelly, Mark",(D),IBM Corp,47750,0,47750
"Kelly, Mark",(D),Comcast Corp,46895,0,46895
"Kelly, Mark",(D),Intel Corp,46058,0,46058
"Kelly, Mark",(D),Wilmerhale Llp,44201,0,44201
"Kelly, Mark",(D),Raytheon Technologies,42294,0,42294
"Kelly, Mark",(D),"Pima County, AZ",42109,0,42109
"Kelly, Mark",(D),Motley Rice LLC,42000,0,42000
"Kelly, Mark",(D),Warner Brothers Discovery,40184,0,40184
"Kelly, Mark",(D),US Dept of Health & Human Services,39050,0,39050
"Kelly, Mark",(D),Blue Cross/Blue Shield,38658,0,38658
"Kelly, Mark",(D),University of Texas,36819,0,36819
"Kelly, Mark",(D),Wells Fargo,36168,0,36168
"Kelly, Mark",(D),Deer Management,36100,0,36100
"Kelly, Mark",(D),Massachusetts Institute of Technology,35451,0,35451
"Kelly, Mark",(D),State of California,35282,0,35282
"Kelly, Mark",(D),Yale University,34390,0,34390
"Kelly, Mark",(D),Kaiser Permanente,33733,0,33733
"Kelly, Mark",(D),US Dept of Veterans Affairs,33649,0,33649
"Kelly, Mark",(D),US House of Representatives,33535,0,33535
"Kelly, Mark",(D),University of Maryland,32269,0,32269
"Kelly, Mark",(D),University of Washington,31797,0,31797
"Kelly, Mark",(D),Mass General Brigham,31563,0,31563
"Kelly, Mark",(D),Mayo Clinic,31348,0,31348
"Kelly, Mark",(D),US Dept of Defense,30970,0,30970
"Kelly, Mark",(D),California State University,29834,0,29834
"Kelly, Mark",(D),"Akin, Gump et al",29687,5000,24687
"Kelly, Mark",(D),Columbia University,29448,0,29448
"Kelly, Mark",(D),Blackstone Group,29197,0,29197
"Kelly, Mark",(D),"Williams, Hart et al",29000,0,29000
"Kelly, Mark",(D),SV Angel LLC,28200,0,28200
"Kelly, Mark",(D),University of Michigan,28174,0,28174
"Kelly, Mark",(D),NASA,26978,0,26978
"Kelly, Mark",(D),Rudin Management,26600,0,26600
"Kelly, Mark",(D),Snell & Wilmer,26175,0,26175
"Kelly, Mark",(D),JPMorgan Chase & Co,26014,0,26014
"Kelly, Mark",(D),Power Rogers LLP,25675,0,25675
"Kelly, Mark",(D),Ballard Spahr LLP,25665,10000,15665
"Kelly, Mark",(D),"Paul, Weiss et al",25525,0,25525
"Kelly, Mark",(D),University of Chicago,25079,0,25079
"Kelly, Mark",(D),US Dept of the Interior,24701,0,24701
"Kelly, Mark",(D),Boeing Co,24344,0,24344
"Kelly, Mark",(D),Netflix Inc,23923,0,23923
"Kelly, Mark",(D),US Dept of Agriculture,23748,0,23748
"Kelly, Mark",(D),Northrop Grumman,23730,0,23730
"Kelly, Mark",(D),4-D Properties,23400,0,23400
"Kelly, Mark",(D),"Kleiner, Perkins et al",23200,0,23200
"Kelly, Mark",(D),Vistria Group,23200,0,23200
"Kelly, Mark",(D),University of Minnesota,22537,0,22537
"Kelly, Mark",(D),K&L Gates,22275,3000,19275
"Kelly, Mark",(D),Honeywell International,22082,0,22082
"Kelly, Mark",(D),Meta,22056,0,22056
"Kelly, Mark",(D),Cornell University,21668,0,21668
"Kelly, Mark",(D),Raikes Foundation,21600,0,21600
"Kelly, Mark",(D),Deloitte LLP,21375,0,21375
"Kelly, Mark",(D),Bain Capital,21200,0,21200
"Kelly, Mark",(D),"Baker, Donelson et al",21070,0,21070
"Kelly, Mark",(D),"City of New York, NY",20800,0,20800
"Kelly, Mark",(D),Emory University,20517,0,20517
"Kelly, Mark",(D),Johns Hopkins University,20436,0,20436
"Kelly, Mark",(D),University of Colorado,20148,0,20148
"Kelly, Mark",(D),"City & County of San Francisco, CA",20105,0,20105
"Kelly, Mark",(D),Sony Corp,20100,0,20100
"Kelly, Mark",(D),New York University,20080,0,20080
"Kelly, Mark",(D),National Assn of Realtors,20000,20000,0
"Kelly, Mark",(D),American Airlines Group,19973,0,19973
"Kelly, Mark",(D),Susman Godfrey LLP,19900,0,19900
"Kelly, Mark",(D),Sidley Austin LLP,19778,0,19778
"Kelly, Mark",(D),University of Southern California,19524,0,19524
"Kelly, Mark",(D),Silver Lake Partners,19250,0,19250
"Kelly, Mark",(D),United Airlines Holdings,18994,0,18994
"Kelly, Mark",(D),Oaktree Capital Management,18980,0,18980
"Kelly, Mark",(D),University of Wisconsin,18755,0,18755
"Kelly, Mark",(D),Dar Group Investments,18600,0,18600
"Kelly, Mark",(D),Valve Corp,18551,0,18551
"Kelly, Mark",(D),National Education Assn,18379,10000,8379
"Kelly, Mark",(D),Northwestern University,18359,0,18359
"Kelly, Mark",(D),Oracle Corp,18212,0,18212
"Kelly, Mark",(D),Apollo Global Management,18087,0,18087
"Kelly, Mark",(D),Arizona Community Physicians,17990,0,17990
"Kelly, Mark",(D),City University of New York,17987,0,17987
"Kelly, Mark",(D),Arnold & Porter Kaye Scholer,17942,2500,15442
"Kelly, Mark",(D),"Cleary, Gottlieb et al",17708,0,17708
"Kelly, Mark",(D),Abelson Taylor,17600,0,17600
"Kennedy, John",(R),Acadian Ambulance Service,53600,15000,38600
"Kennedy, John",(R),Atco Investment,53500,0,53500
"Kennedy, John",(R),Morris & Dickson,48600,0,48600
"Kennedy, John",(R),Amway/Alticor Inc,48200,5000,43200
"Kennedy, John",(R),Ochsner Health System,42430,0,42430
"Kennedy, John",(R),Central Management,40800,0,40800
"Kennedy, John",(R),Terral River Service,39100,0,39100
"Kennedy, John",(R),"Johnson, Rice & Co",38300,0,38300
"Kennedy, John",(R),Performance Contractors Inc,36821,0,36821
"Kennedy, John",(R),Bollinger Shipyards,36800,0,36800
"Kennedy, John",(R),Will-Drill Resources,35750,0,35750
"Kennedy, John",(R),Corporate Capital LLC,35600,0,35600
"Kennedy, John",(R),Amedisys Inc,35210,30000,5210
"Kennedy, John",(R),Cajun Industries,35100,0,35100
"Kennedy, John",(R),Hri Properties,35033,0,35033
"Kennedy, John",(R),Turner Industries,34950,0,34950
"Kennedy, John",(R),Berkshire Hathaway,34831,17500,17331
"Kennedy, John",(R),Latham & Watkins,34400,0,34400
"Kennedy, John",(R),Port Aggregates Inc,32600,0,32600
"Kennedy, John",(R),Lamar Advertising,32000,5000,27000
"Kennedy, John",(R),UBS AG,31400,25000,6400
"Kennedy, John",(R),Tellurian Inc,31325,5000,26325
"Kennedy, John",(R),Fishman Haygood LLP,30500,0,30500
"Kennedy, John",(R),Roy O Martin Lumber,30200,0,30200
"Kennedy, John",(R),Latter & Blum,29800,0,29800
"Kennedy, John",(R),Lamarque Motor Co,29100,0,29100
"Kennedy, John",(R),LHC Group,29000,7000,22000
"Kennedy, John",(R),Lwcc,28499,0,28499
"Kennedy, John",(R),D&J Construction,28490,0,28490
"Kennedy, John",(R),Crest Industries,28000,0,28000
"Kennedy, John",(R),Kinsey Interests,27950,0,27950
"Kennedy, John",(R),ISC Constructors,27300,0,27300
"Kennedy, John",(R),Collier Investments,27100,0,27100
"Kennedy, John",(R),Offshore Liftboats LLC,27100,0,27100
"Kennedy, John",(R),Versabar Inc,26910,0,26910
"Kennedy, John",(R),Edison Chouest Offshore,26800,0,26800
"Kennedy, John",(R),Foley & Judell,25800,0,25800
"Kennedy, John",(R),Family Eye Care Assoc,25400,0,25400
"Kennedy, John",(R),Fran Oil,25400,0,25400
"Kennedy, John",(R),Marathon Petroleum,25120,25000,120
"Kennedy, John",(R),B&G Food Enterprises,24500,0,24500
"Kennedy, John",(R),Pellerin Laundry Machine Sales,24500,0,24500
"Kennedy, John",(R),Davison Transport,24300,0,24300
"Kennedy, John",(R),Harvey Gulf International Marine,24300,0,24300
"Kennedy, John",(R),"Stone, Pigman et al",23950,0,23950
"Kennedy, John",(R),Fairfield Property Management,23800,0,23800
"Kennedy, John",(R),Lumen Technologies,23355,15500,7855
"Kennedy, John",(R),Builders Supply Co,22850,0,22850
"Kennedy, John",(R),Madden Contracting,22850,0,22850
"Kennedy, John",(R),Cajun Chef Products,22500,0,22500
"Kennedy, John",(R),Tulane University,22200,0,22200
"Kennedy, John",(R),Metro Aviation Inc,21800,0,21800
"Kennedy, John",(R),Woodward Design & Build,21800,0,21800
"Kennedy, John",(R),Courtesy Automotive,21700,0,21700
"Kennedy, John",(R),Gaubert Oil Co,21700,0,21700
"Kennedy, John",(R),Soil Stabilizers,21700,0,21700
"Kennedy, John",(R),Ul Coleman Companies,21700,0,21700
"Kennedy, John",(R),Barrister Global Services,21600,0,21600
"Kennedy, John",(R),Correct Care Inc,21600,0,21600
"Kennedy, John",(R),Hercules Transport,21500,0,21500
"Kennedy, John",(R),Blessey Marine Service,21200,13100,8100
"Kennedy, John",(R),Crosby Energy Services,21025,0,21025
"Kennedy, John",(R),Mortgage Bankers Assn,21000,21000,0
"Kennedy, John",(R),Adams & Reese,20900,12500,8400
"Kennedy, John",(R),McC Group,20900,0,20900
"Kennedy, John",(R),Acme Oysters,20700,0,20700
"Kennedy, John",(R),Major Equipment & Remediation Services,20500,0,20500
"Kennedy, John",(R),Chaffe McCall LLP,20450,0,20450
"Kennedy, John",(R),Tucker Property Management,20300,0,20300
"Kennedy, John",(R),Madden Construction,20250,0,20250
"Kennedy, John",(R),Northrop Grumman,20172,19000,1172
"Kennedy, John",(R),Deloitte LLP,20095,20000,95
"Kennedy, John",(R),United Parcel Service,20020,19500,520
"Kennedy, John",(R),Ghk Developments,20000,0,20000
"Kennedy, John",(R),Royal Honda,19900,0,19900
"Kennedy, John",(R),Barriere Construction,19800,0,19800
"Kennedy, John",(R),Capital One Financial,19515,18500,1015
"Kennedy, John",(R),Industrial Specialty,19300,0,19300
"Kennedy, John",(R),Kencoil Inc,19200,0,19200
"Kennedy, John",(R),Republic Beverage,19200,0,19200
"Kennedy, John",(R),Plexos Group,19100,0,19100
"Kennedy, John",(R),"Bernstein, Litowitz et al",19000,0,19000
"Kennedy, John",(R),Crosby Tugs,19000,0,19000
"Kennedy, John",(R),Larsen Intermodal Services,19000,0,19000
"Kennedy, John",(R),Leblanc Auto,19000,0,19000
"Kennedy, John",(R),"Linfield, Hunter & Junius",19000,0,19000
"Kennedy, John",(R),Louisiana Rice Mill LLC,19000,0,19000
"Kennedy, John",(R),Mallett Buildings,19000,0,19000
"Kennedy, John",(R),Pontchartrain Capital,19000,0,19000
"Kennedy, John",(R),Wampold Companies,19000,0,19000
"Kennedy, John",(R),Oats & Marino,18900,0,18900
"Kennedy, John",(R),Richardson Companies,18900,0,18900
"Kennedy, John",(R),Huval & Assoc,18600,0,18600
"Kennedy, John",(R),National Assn of Realtors,18500,18500,0
"Kennedy, John",(R),Star Service,18500,0,18500
"Kennedy, John",(R),Bank of Montgomery,18200,0,18200
"Kennedy, John",(R),Bass Ltd,18200,0,18200
"Kennedy, John",(R),"Cole, Evans & Peterson",18100,0,18100
"Kennedy, John",(R),Willis-Knighton Health System,18100,0,18100
"Kennedy, John",(R),Vintage Realty,17950,0,17950
"King, Angus",(I),General Dynamics,97650,41000,56650
"King, Angus",(I),JStreetPAC,88085,0,88085
"King, Angus",(I),Northrop Grumman,73300,42000,31300
"King, Angus",(I),Unum Group,38786,22500,16286
"King, Angus",(I),Lockheed Martin,38500,38500,0
"King, Angus",(I),Paloma Partners,37900,0,37900
"King, Angus",(I),League of Conservation Voters,33853,11999,21854
"King, Angus",(I),American Institute of CPAs,31000,31000,0
"King, Angus",(I),Alphabet Inc,30800,20000,10800
"King, Angus",(I),American Hotel & Lodging Assn,30000,30000,0
"King, Angus",(I),Comcast Corp,27650,25000,2650
"King, Angus",(I),"Bernstein, Shur et al",27025,0,27025
"King, Angus",(I),Cooney & Conway,27000,0,27000
"King, Angus",(I),RTX Corp,26650,14000,12650
"King, Angus",(I),AT&T Inc,26000,26000,0
"King, Angus",(I),American Assn for Justice,25000,25000,0
"King, Angus",(I),Democracy Engine,23425,0,23425
"King, Angus",(I),Honeywell International,22500,22500,0
"King, Angus",(I),New York Life Insurance,22500,22500,0
"King, Angus",(I),Charter Communications,22000,22000,0
"King, Angus",(I),T-Mobile USA,21000,21000,0
"King, Angus",(I),International Franchise Assn,20000,20000,0
"King, Angus",(I),Telephone & Data Systems Inc,19800,9000,10800
"King, Angus",(I),Microsoft Corp,19100,18000,1100
"King, Angus",(I),Spectrum Medical Group,18250,0,18250
"King, Angus",(I),Boeing Co,18000,17500,500
"King, Angus",(I),UBS AG,17700,15000,2700
"King, Angus",(I),Cardinal Health,17500,17500,0
"King, Angus",(I),Sun Life Financial,17400,15400,2000
"King, Angus",(I),Bowdoin College,17175,0,17175
"King, Angus",(I),NextEra Energy,17000,17000,0
"King, Angus",(I),Drummond Woodsum,16950,0,16950
"King, Angus",(I),Lee Auto Mall,16500,0,16500
"King, Angus",(I),America's Credit Unions,16000,15000,1000
"King, Angus",(I),National Multifamily Housing Council,16000,16000,0
"King, Angus",(I),Fidelity Investments,15500,14500,1000
"King, Angus",(I),International Brotherhood of Electrical Workers,15000,15000,0
"King, Angus",(I),Laborers Union,15000,15000,0
"King, Angus",(I),Plumbers/Pipefitters Union,15000,15000,0
"King, Angus",(I),Mortgage Bankers Assn,14500,14500,0
"King, Angus",(I),State of Maine,14450,0,14450
"King, Angus",(I),Independent Community Bankers of America,14000,14000,0
"King, Angus",(I),National Assn of Realtors,14000,14000,0
"King, Angus",(I),Texas Instruments,13700,10000,3700
"King, Angus",(I),Dakota Prairie PAC,13691,13691,0
"King, Angus",(I),International Paper,13500,13500,0
"King, Angus",(I),Walmart Inc,13500,13500,0
"King, Angus",(I),Geiger,13400,0,13400
"King, Angus",(I),Anthem Inc,13100,10000,3100
"King, Angus",(I),Jay Cashman Inc,13100,0,13100
"King, Angus",(I),Procter & Gamble,13000,11000,2000
"King, Angus",(I),Bad Robot Productions,12800,0,12800
"King, Angus",(I),Jackson Laboratory,12775,0,12775
"King, Angus",(I),National Air Traffic Controllers Assn,12500,12500,0
"King, Angus",(I),Huntington Ingalls Industries,12000,12000,0
"King, Angus",(I),SMART Transportation Division,12000,12000,0
"King, Angus",(I),Aetna Inc,11800,0,11800
"King, Angus",(I),American Bankers Assn,11250,10000,1250
"King, Angus",(I),Capitol Counsel,11200,0,11200
"King, Angus",(I),Atlas Holdings,11000,0,11000
"King, Angus",(I),Deloitte LLP,11000,10000,1000
"King, Angus",(I),National Assn of Broadcasters,11000,8500,2500
"King, Angus",(I),Verrill Dana Llp,10950,0,10950
"King, Angus",(I),Allogene,10800,0,10800
"King, Angus",(I),Atlas Energy,10800,0,10800
"King, Angus",(I),BeLLCo Capital LLC,10800,0,10800
"King, Angus",(I),Carnival Corp,10800,0,10800
"King, Angus",(I),Elevation Partners,10800,0,10800
"King, Angus",(I),"English, Munger & Rice",10800,0,10800
"King, Angus",(I),Harraseeket Inn,10800,0,10800
"King, Angus",(I),"Keefe, Keefe & Unsell",10800,0,10800
"King, Angus",(I),Simmons Hanly Conroy,10800,0,10800
"King, Angus",(I),"Welsh, Carson et al",10800,0,10800
"King, Angus",(I),"Williams, Hart et al",10800,0,10800
"King, Angus",(I),Goulston & Storrs,10550,0,10550
"King, Angus",(I),Verizon Communications,10500,10500,0
"King, Angus",(I),American Council of Life Insurers,10000,10000,0
"King, Angus",(I),American Federation of State/Cnty/Munic Employees,10000,10000,0
"King, Angus",(I),American Federation of Teachers,10000,10000,0
"King, Angus",(I),American Wind Energy Assn,10000,10000,0
"King, Angus",(I),Association for Advanced Life Underwriting,10000,10000,0
"King, Angus",(I),Blue Hen PAC,10000,10000,0
"King, Angus",(I),Ernst & Young,10000,10000,0
"King, Angus",(I),Fearless for the People,10000,10000,0
"King, Angus",(I),Global Capital,10000,0,10000
"King, Angus",(I),Hoosiers First PAC,10000,10000,0
"King, Angus",(I),Impact (Schumer),10000,10000,0
"King, Angus",(I),International Assn of Fire Fighters,10000,10000,0
"King, Angus",(I),M-PAC,10000,10000,0
"King, Angus",(I),Machinists/Aerospace Workers Union,10000,10000,0
"King, Angus",(I),Midwest Values PAC,10000,10000,0
"King, Angus",(I),National Active & Retired Federal Employees Assn,10000,10000,0
"King, Angus",(I),National Assn of Insurance & Financial Advisors,10000,10000,0
"King, Angus",(I),National Education Assn,10000,10000,0
"King, Angus",(I),National Potato Council,10000,10000,0
"King, Angus",(I),Nutmeg PAC,10000,10000,0
"King, Angus",(I),Operating Engineers Union,10000,10000,0
"King, Angus",(I),PAC for a Level Playing Field,10000,10000,0
"King, Angus",(I),Prairie PAC,10000,10000,0
"King, Angus",(I),SpaceX,10000,10000,0
"Klobuchar, Amy",(D),Walt Disney Co,91501,18250,73251
"Klobuchar, Amy",(D),University of Minnesota,87987,0,87987
"Klobuchar, Amy",(D),Delta Air Lines,81279,25000,56279
"Klobuchar, Amy",(D),"Wachtell, Lipton et al",75959,0,75959
"Klobuchar, Amy",(D),Comcast Corp,61277,29500,31777
"Klobuchar, Amy",(D),Dorsey & Whitney,60718,4250,56468
"Klobuchar, Amy",(D),Microsoft Corp,54200,20000,34200
"Klobuchar, Amy",(D),Cargill Inc,53655,11000,42655
"Klobuchar, Amy",(D),General Mills,52728,6500,46228
"Klobuchar, Amy",(D),US Bancorp,50993,9000,41993
"Klobuchar, Amy",(D),Starkey Hearing Technologies,48110,1000,47110
"Klobuchar, Amy",(D),Target Corp,47434,17000,30434
"Klobuchar, Amy",(D),Morgan Stanley,46785,10000,36785
"Klobuchar, Amy",(D),Land O'Lakes,46658,9000,37658
"Klobuchar, Amy",(D),NAU Country Insurance,46575,0,46575
"Klobuchar, Amy",(D),Lockridge Grindal Nauen Pllp,45548,8998,36550
"Klobuchar, Amy",(D),Womencount PAC,44156,6,44150
"Klobuchar, Amy",(D),Best Buy,44154,12500,31654
"Klobuchar, Amy",(D),Xcel Energy,43135,13000,30135
"Klobuchar, Amy",(D),Centerview Partners,42400,0,42400
"Klobuchar, Amy",(D),Medtronic Inc,42276,18000,24276
"Klobuchar, Amy",(D),Alphabet Inc,41922,26000,15922
"Klobuchar, Amy",(D),Ecolab Inc,40500,9000,31500
"Klobuchar, Amy",(D),UnitedHealth Group,38264,7500,30764
"Klobuchar, Amy",(D),Garden Homes,37525,0,37525
"Klobuchar, Amy",(D),Robins Kaplan LLP,36950,6000,30950
"Klobuchar, Amy",(D),Centerbridge Partners,35600,0,35600
"Klobuchar, Amy",(D),CSM Corp,35600,0,35600
"Klobuchar, Amy",(D),Marriott International,34700,17500,17200
"Klobuchar, Amy",(D),Carsey-Werner LLC,34200,0,34200
"Klobuchar, Amy",(D),Pohlad Companies,34000,0,34000
"Klobuchar, Amy",(D),Wells Fargo,32499,3500,28999
"Klobuchar, Amy",(D),Apollo Global Management,31226,7500,23726
"Klobuchar, Amy",(D),Air Line Pilots Assn,31005,30000,1005
"Klobuchar, Amy",(D),Directors Guild of America,30800,15000,15800
"Klobuchar, Amy",(D),Honeywell International,30698,28000,2698
"Klobuchar, Amy",(D),International Brotherhood of Electrical Workers,30306,30000,306
"Klobuchar, Amy",(D),Carpenters & Joiners Union,30000,30000,0
"Klobuchar, Amy",(D),National Beer Wholesalers Assn,30000,30000,0
"Klobuchar, Amy",(D),Painters & Allied Trades Union,30000,30000,0
"Klobuchar, Amy",(D),Southern Minn Beet Sugar Co-Op,30000,30000,0
"Klobuchar, Amy",(D),3M Co,29034,10000,19034
"Klobuchar, Amy",(D),Gracie Films,28600,0,28600
"Klobuchar, Amy",(D),Heartland Realty Investors,28500,0,28500
"Klobuchar, Amy",(D),"Sheet Metal, Air, Rail & Transportation Union",28500,28500,0
"Klobuchar, Amy",(D),Shakopee Mdewakanton Sioux Community,28100,0,28100
"Klobuchar, Amy",(D),Yelp Inc,27800,4400,23400
"Klobuchar, Amy",(D),American Hotel & Lodging Assn,27400,27400,0
"Klobuchar, Amy",(D),Medica,27232,0,27232
"Klobuchar, Amy",(D),National Air Traffic Controllers Assn,27000,27000,0
"Klobuchar, Amy",(D),National Assn of Broadcasters,26500,26000,500
"Klobuchar, Amy",(D),Mayo Clinic,26447,0,26447
"Klobuchar, Amy",(D),Minnesota Vikings,26400,0,26400
"Klobuchar, Amy",(D),Harvard University,26300,0,26300
"Klobuchar, Amy",(D),Deloitte LLP,26183,20000,6183
"Klobuchar, Amy",(D),UBS AG,26122,25000,1122
"Klobuchar, Amy",(D),Ford Motor Co,26085,15000,11085
"Klobuchar, Amy",(D),Allied Wallet,25800,0,25800
"Klobuchar, Amy",(D),Polaris Industries,25660,2500,23160
"Klobuchar, Amy",(D),State of Minnesota,25305,0,25305
"Klobuchar, Amy",(D),American Assn for Justice,25000,25000,0
"Klobuchar, Amy",(D),NCTA The Internet & Television Assn,25000,23500,1500
"Klobuchar, Amy",(D),Operating Engineers Union,25000,25000,0
"Klobuchar, Amy",(D),Hilton Worldwide,24563,15000,9563
"Klobuchar, Amy",(D),Blue Cross/Blue Shield,24544,8000,16544
"Klobuchar, Amy",(D),"Faegre, Drinker et al",24375,9000,15375
"Klobuchar, Amy",(D),WilmerHale LLP,24215,0,24215
"Klobuchar, Amy",(D),Carval Investors,23600,0,23600
"Klobuchar, Amy",(D),Key Investments,23300,0,23300
"Klobuchar, Amy",(D),Michael Stars Inc,23249,0,23249
"Klobuchar, Amy",(D),Carlson Companies,22560,0,22560
"Klobuchar, Amy",(D),Ironworkers Union,22500,22500,0
"Klobuchar, Amy",(D),Laborers Union,22500,22500,0
"Klobuchar, Amy",(D),NTCA/Rural Broadband Assn,22500,22500,0
"Klobuchar, Amy",(D),Home Depot,22033,21500,533
"Klobuchar, Amy",(D),Thrivent Financial,21939,13333,8606
"Klobuchar, Amy",(D),United Talent Agency,21625,0,21625
"Klobuchar, Amy",(D),American Crystal Sugar,21350,20000,1350
"Klobuchar, Amy",(D),AT&T Inc,20870,5700,15170
"Klobuchar, Amy",(D),Infinite Campus,20400,0,20400
"Klobuchar, Amy",(D),Berkshire Hathaway,20310,17000,3310
"Klobuchar, Amy",(D),National Rural Electric Cooperative Assn,20060,20000,60
"Klobuchar, Amy",(D),Walmart Inc,19632,14000,5632
"Klobuchar, Amy",(D),Abbott Laboratories,19482,15000,4482
"Klobuchar, Amy",(D),Planned Parenthood,19450,5000,14450
"Klobuchar, Amy",(D),Greenberg Traurig LLP,19073,2500,16573
"Klobuchar, Amy",(D),Gray Plant Mooty,19056,6868,12188
"Klobuchar, Amy",(D),Goldman Sachs,18700,2000,16700
"Klobuchar, Amy",(D),General Motors,18010,18000,10
"Klobuchar, Amy",(D),American Academy of Neurology,18000,18000,0
"Klobuchar, Amy",(D),League of Conservation Voters,18000,4500,13500
"Klobuchar, Amy",(D),"Paul, Weiss et al",17875,0,17875
"Klobuchar, Amy",(D),International Assn of Fire Fighters,17500,17500,0
"Klobuchar, Amy",(D),Fredrikson & Byron,17484,0,17484
"Klobuchar, Amy",(D),Stinson LLP,17425,0,17425
"Klobuchar, Amy",(D),Procter & Gamble,17400,10000,7400
"Klobuchar, Amy",(D),Poet LLC,17300,10000,7300
"Klobuchar, Amy",(D),Oracle Corp,17001,3500,13501
"Klobuchar, Amy",(D),Securian Financial Group,16835,7600,9235
"Klobuchar, Amy",(D),Facebook Inc,16500,7500,9000
"Lankford, James",(R),Blue Cross/Blue Shield,53500,53000,500
"Lankford, James",(R),Honeywell International,51500,36000,15500
"Lankford, James",(R),Ernst & Young,46250,42500,3750
"Lankford, James",(R),Cox Enterprises,44500,41000,3500
"Lankford, James",(R),Union Pacific Corp,40000,40000,0
"Lankford, James",(R),Devon Energy,39200,10000,29200
"Lankford, James",(R),United Parcel Service,34647,34647,0
"Lankford, James",(R),Chickasaw Nation,34383,0,34383
"Lankford, James",(R),AT&T Inc,32500,31000,1500
"Lankford, James",(R),New York Life Insurance,32000,30000,2000
"Lankford, James",(R),Berkshire Hathaway,31900,26500,5400
"Lankford, James",(R),Northrop Grumman,31525,31500,25
"Lankford, James",(R),Koch Inc,30800,20000,10800
"Lankford, James",(R),Koch Industries,30800,20000,10800
"Lankford, James",(R),Energy Transfer Partners,30600,5000,25600
"Lankford, James",(R),BancFirst,27350,1500,25850
"Lankford, James",(R),American Optometric Assn,27250,26500,750
"Lankford, James",(R),Cherokee Nation,25400,0,25400
"Lankford, James",(R),Comcast Corp,25000,25000,0
"Lankford, James",(R),FedEx Corp,25000,25000,0
"Lankford, James",(R),American Assn of Orthopaedic Surgeons,24500,24500,0
"Lankford, James",(R),Pelco Structural,24112,0,24112
"Lankford, James",(R),American Bankers Assn,23750,17500,6250
"Lankford, James",(R),Ward Petroleum,23600,0,23600
"Lankford, James",(R),Senior Star,22600,0,22600
"Lankford, James",(R),International Paper,22500,22500,0
"Lankford, James",(R),National Assn of Chemical Distributors,22500,22500,0
"Lankford, James",(R),Valero Energy,22500,22500,0
"Lankford, James",(R),Williams Companies,22500,20500,2000
"Lankford, James",(R),Oklahoma State University,21800,0,21800
"Lankford, James",(R),Mathena Inc,21600,0,21600
"Lankford, James",(R),Amgen Inc,21500,21000,500
"Lankford, James",(R),Lockheed Martin,21500,21500,0
"Lankford, James",(R),MANHATTAN ROAD & BRIDGE,21400,0,21400
"Lankford, James",(R),L3Harris Technologies,20500,20500,0
"Lankford, James",(R),Charter Communications,20000,20000,0
"Lankford, James",(R),Dakota PAC,20000,20000,0
"Lankford, James",(R),Freedom Fund,20000,20000,0
"Lankford, James",(R),Home Depot,20000,20000,0
"Lankford, James",(R),National Active & Retired Federal Employees Assn,20000,20000,0
"Lankford, James",(R),National Assn of Realtors,20000,20000,0
"Lankford, James",(R),Reclaim America PAC,20000,20000,0
"Lankford, James",(R),Rooney Holdings,19600,0,19600
